City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Alibag,18.6411,72.8792,82.4,78,20,8.9,IN,1619129798
Barrow,71.2906,-156.7887,19.4,79,1,8.05,US,1619129324
Sørland,67.667,12.6934,30.2,93,75,3.44,NO,1619129799
Norman Wells,65.282,-126.8329,26.6,50,75,12.66,CA,1619129376
Pitimbu,-7.4706,-34.8086,78.8,100,0,6.91,BR,1619129799
Mataura,-46.1927,168.8643,50.0,98,97,5.99,NZ,1619129461
Lebu,-37.6167,-73.65,53.62,71,86,3.13,CL,1619129415
Port Elizabeth,-33.918,25.5701,64.4,88,0,13.8,ZA,1619129490
Shimanovsk,52.0,127.7,32.68,37,100,14.14,RU,1619129800
Thompson,55.7435,-97.8558,21.2,79,75,18.41,CA,1619129327
Vaini,-21.2,-175.2,84.2,84,75,6.91,TO,1619129285
Sakakah,29.9697,40.2064,82.4,15,40,6.91,SA,1619129531
Busselton,-33.65,115.3333,57.0,83,94,3.0,AU,1619129046
Saint George,37.1041,-113.5841,75.99,16,1,16.11,US,1619129323
Faanui,-16.4833,-151.75,81.03,74,12,15.32,PF,1619129471
Daoukro,7.0591,-3.9631,78.06,82,23,3.51,CI,1619129767
Souillac,-20.5167,57.5167,77.0,94,75,5.75,MU,1619129311
Dikson,73.5069,80.5464,28.17,91,100,23.31,RU,1619129319
Jamestown,42.097,-79.2353,34.0,86,90,13.8,US,1619129465
Marrakesh,31.6315,-8.0083,69.8,52,85,11.5,MA,1619129732
Hobart,-42.8794,147.3294,55.4,44,75,11.5,AU,1619129280
Hong Kong,22.2855,114.1577,77.0,83,0,5.06,HK,1619129222
Businga,3.3333,20.8833,74.17,83,96,1.21,CD,1619129804
Goiás,-15.5807,-49.6362,67.73,62,8,2.04,BR,1619129804
Yellowknife,62.456,-114.3525,17.6,49,75,21.85,CA,1619129023
Hermanus,-34.4187,19.2345,60.01,85,0,3.2,ZA,1619129462
Ulaangom,49.9811,92.0667,33.31,50,100,2.37,MN,1619129805
Guerrero Negro,27.9769,-114.0611,65.25,54,2,19.13,MX,1619129302
Russell,32.3502,-85.1999,68.0,21,1,6.91,US,1619129806
Punta Arenas,-53.15,-70.9167,46.4,93,75,4.61,CL,1619129304
San Cristobal,7.7669,-72.225,86.0,62,20,10.36,VE,1619129432
Pokhara,28.2333,83.9833,63.19,31,1,7.99,NP,1619129306
Cidreira,-30.1811,-50.2056,69.6,73,1,16.64,BR,1619129436
Awjilah,29.1081,21.2869,75.07,18,100,12.95,LY,1619129807
Krasnosel'kup,65.7,82.4667,23.67,91,84,13.67,RU,1619129808
Klaksvík,62.2266,-6.589,42.8,81,75,6.02,FO,1619129501
Ponta do Sol,32.6667,-17.1,64.99,90,82,10.0,PT,1619129327
Champerico,14.3,-91.9167,89.6,70,75,11.5,GT,1619129449
Guiratinga,-16.3494,-53.7583,74.23,50,64,4.07,BR,1619129809
Rikitea,-23.1203,-134.9692,78.08,75,81,16.33,PF,1619129276
Castro,-24.7911,-50.0119,58.75,83,100,4.05,BR,1619129287
Grindavik,63.8424,-22.4338,44.6,87,90,25.32,IS,1619129398
Tres Arroyos,-38.3739,-60.2798,62.2,93,74,6.02,AR,1619129810
Kiryat Gat,31.61,34.7642,62.01,77,40,3.44,IL,1619129810
Urmia,37.5527,45.0761,53.6,66,0,6.91,IR,1619129811
Albany,42.6001,-73.9662,42.01,34,86,1.99,US,1619129251
Yar-Sale,66.8333,70.8333,34.27,87,79,16.67,RU,1619129519
Kaka,37.3482,59.6143,61.97,21,49,7.87,TM,1619129812
Bonavista,48.6499,-53.1147,48.2,76,100,8.05,CA,1619129812
Sibolga,1.7427,98.7792,76.05,87,100,2.86,ID,1619129513
Banjar,-8.19,114.9675,77.0,73,20,3.44,ID,1619129312
Butaritari,3.0707,172.7902,82.62,74,49,11.25,KI,1619129291
Bambous Virieux,-20.3428,57.7575,77.0,94,75,5.75,MU,1619129293
Arawa,-6.2132,155.5367,77.16,90,100,4.05,PG,1619129814
Buala,-8.145,159.5921,82.74,76,88,6.8,SB,1619129391
Avarua,-21.2078,-159.775,78.8,83,75,27.63,CK,1619129332
Clyde River,70.4692,-68.5914,15.8,79,75,5.75,CA,1619129290
Bilibino,68.0546,166.4372,20.98,84,98,3.36,RU,1619129301
Esfarāyen,37.0765,57.5101,59.0,41,0,2.3,IR,1619129815
Honningsvåg,70.9821,25.9704,35.6,64,40,8.05,NO,1619129346
East London,-33.0153,27.9116,68.0,79,97,12.3,ZA,1619129334
Saldanha,-33.0117,17.9442,60.8,82,0,3.44,ZA,1619129487
Marsá Maţrūḩ,31.3525,27.2453,60.8,72,75,5.75,EG,1619129816
Vila Franca do Campo,37.7167,-25.4333,59.0,77,40,32.21,PT,1619129425
Tarboro,35.8968,-77.5358,57.2,28,90,12.66,US,1619129817
Tuktoyaktuk,69.4541,-133.0374,10.4,72,40,9.22,CA,1619129313
Los Llanos de Aridane,28.6585,-17.9182,68.0,73,20,5.75,ES,1619129162
Deputatsky,69.3,139.9,2.91,95,94,1.45,RU,1619129480
Codrington,-38.2667,141.9667,55.0,75,100,10.49,AU,1619129373
Ol'ga,43.7444,135.2892,46.56,48,100,2.64,RU,1619129818
Mar del Plata,-38.0023,-57.5575,69.8,88,40,8.05,AR,1619129339
Bathsheba,13.2167,-59.5167,80.6,61,40,19.57,BB,1619129299
Dwārka,22.2394,68.9678,79.99,80,48,10.49,IN,1619129819
North Myrtle Beach,33.816,-78.68,63.0,23,1,10.36,US,1619129076
Baykit,61.67,96.37,24.3,93,100,4.34,RU,1619129820
Oktyabr'skoye,43.0645,44.7417,50.0,100,100,6.71,RU,1619129821
Qasigiannguit,68.8193,-51.1922,24.8,74,100,4.61,GL,1619129821
Sijunjung,-0.6876,100.9537,70.95,95,99,1.63,ID,1619129665
Sibu,2.3,111.8167,73.4,100,40,2.3,MY,1619129822
New Norfolk,-42.7826,147.0587,51.01,64,70,3.0,AU,1619129335
Thinadhoo,0.5333,72.9333,82.76,64,77,9.17,MV,1619129445
Bethel,41.3712,-73.414,44.01,45,94,5.99,US,1619129270
Atuona,-9.8,-139.0333,80.74,75,53,20.51,PF,1619129497
Kismayo,-0.3582,42.5454,81.28,80,100,11.52,SO,1619129823
Hilo,19.7297,-155.09,82.4,54,90,11.5,US,1619129338
Saint Paul Harbor,57.79,-152.4072,42.8,87,90,13.8,US,1619129462
Fukuechō,32.6881,128.8419,65.62,71,100,2.98,JP,1619129824
Chui,-33.6971,-53.4616,65.89,79,10,12.15,UY,1619129493
Coolum Beach,-26.5333,153.1,66.0,61,56,6.29,AU,1619129825
Port Alfred,-33.5906,26.891,67.42,80,65,18.75,ZA,1619129338
Mwinilunga,-11.7358,24.4293,64.69,86,100,3.51,ZM,1619129826
Ushuaia,-54.8,-68.3,42.8,87,75,11.5,AR,1619129278
Kapaa,22.0752,-159.319,80.01,73,20,9.22,US,1619129273
Oranjemund,-28.55,16.4333,59.77,87,0,2.77,NA,1619129827
Arraial do Cabo,-22.9661,-42.0278,71.6,88,20,14.97,BR,1619129463
Saint-Philippe,-21.3585,55.7679,77.0,78,90,10.36,RE,1619129503
Tuatapere,-46.1333,167.6833,50.0,98,99,5.99,NZ,1619129483
Nikolskoye,59.7035,30.7861,45.0,93,90,2.24,RU,1619129323
Biloela,-24.4167,150.5,66.15,33,100,13.71,AU,1619129828
Port Lincoln,-34.7333,135.8667,60.06,71,100,7.36,AU,1619129280
Lüderitz,-26.6481,15.1594,64.87,72,1,6.4,NA,1619129285
Fairbanks,64.8378,-147.7164,54.0,25,1,9.22,US,1619129366
Tiksi,71.6872,128.8694,10.92,90,100,4.76,RU,1619129330
San Patricio,28.017,-97.5169,73.99,78,90,17.27,US,1619129830
Nanortalik,60.1432,-45.2371,37.2,75,62,3.11,GL,1619129374
Jiazi,22.8779,116.067,73.2,83,11,3.62,CN,1619129830
Berdigestyakh,62.0989,126.6992,17.2,90,98,7.25,RU,1619129831
Cockburn Town,21.4612,-71.1419,80.6,74,40,11.5,TC,1619129455
Kruisfontein,-34.0033,24.7314,66.0,83,5,7.0,ZA,1619129831
Falam,22.9167,93.6833,61.65,64,1,3.69,MM,1619129832
Göksun,38.021,36.4973,51.8,87,0,5.75,TR,1619129832
Revelstoke,50.9832,-118.2023,53.6,43,90,9.22,CA,1619129833
Bredasdorp,-34.5322,20.0403,55.4,94,2,3.44,ZA,1619129289
Cabo San Lucas,22.8909,-109.9124,82.0,26,20,4.61,MX,1619129178
Tasiilaq,65.6145,-37.6368,28.4,59,90,14.97,GL,1619129318
Kaitangata,-46.2817,169.8464,55.99,89,100,3.4,NZ,1619129400
Upernavik,72.7868,-56.1549,25.05,87,99,6.62,GL,1619129286
Airai,-8.9266,125.4092,57.6,85,34,2.13,TL,1619129523
Bahir Dar,11.5936,37.3908,61.99,83,96,5.55,ET,1619129700
Bluff,-46.6,168.3333,50.0,98,100,5.99,NZ,1619129273
Samarai,-10.6167,150.6667,82.11,78,82,3.27,PG,1619129835
Labuhan,-6.8844,112.2051,74.8,81,45,6.89,ID,1619129414
Carahue,-38.7,-73.1667,57.2,67,0,5.75,CL,1619129836
Severo-Kuril'sk,50.6789,156.125,35.1,94,68,4.03,RU,1619129354
Ribeira Grande,38.5167,-28.7,57.11,78,60,37.54,PT,1619129342
Klang,3.0333,101.45,75.2,94,20,6.31,MY,1619129837
Bowen,-20.0167,148.2333,73.4,73,90,6.91,AU,1619129374
Peniche,39.3558,-9.3811,59.0,85,100,7.76,PT,1619129361
Pangai,-19.8,-174.35,86.0,70,40,5.75,TO,1619129838
Geraldton,-28.7667,114.6,62.6,82,100,9.22,AU,1619129410
Puerto Ayora,-0.7393,-90.3518,82.4,74,20,19.57,EC,1619129278
Altay,47.8667,88.1167,26.28,47,100,2.3,CN,1619129839
Mackay,-21.15,149.2,71.6,83,90,6.91,AU,1619129839
Hithadhoo,-0.6,73.0833,82.65,73,44,7.58,MV,1619129399
High Rock,26.6208,-78.2833,78.8,69,40,6.91,BS,1619129840
Cherskiy,68.75,161.3,18.86,91,100,11.56,RU,1619129375
Beringovskiy,63.05,179.3167,23.85,76,48,8.12,RU,1619129840
George Town,5.4112,100.3354,77.0,94,40,2.3,MY,1619129294
Verkhnevilyuysk,63.4453,120.3167,26.78,94,100,11.25,RU,1619129841
Hasaki,35.7333,140.8333,50.0,66,20,13.8,JP,1619129297
Saint Anthony,45.0205,-93.218,64.4,20,1,11.5,US,1619129316
Aswān,24.0934,32.907,86.99,16,47,10.2,EG,1619129340
Abu Dhabi,24.4667,54.3667,80.6,54,0,2.3,AE,1619129711
Ilulissat,69.2167,-51.1,24.8,74,100,4.61,GL,1619129303
Kiama,-34.6833,150.8667,59.0,61,0,8.01,AU,1619129843
Lata,40.1629,-8.3327,57.99,94,0,2.3,PT,1619129843
Ialibu,-6.2821,143.9935,59.86,94,99,0.56,PG,1619129844
Ancud,-41.8697,-73.8203,52.0,100,75,8.05,CL,1619129523
Darhan,49.4867,105.9228,26.53,82,100,11.99,MN,1619129844
Avera,33.194,-82.5271,64.4,19,1,4.61,US,1619129422
Lima,-12.0432,-77.0282,69.01,88,90,12.66,PE,1619129691
Ocós,14.5094,-92.1933,89.6,62,20,13.8,GT,1619129845
Almaznyy,48.0448,40.045,51.8,87,20,4.47,RU,1619129845
Amapá,1.0,-52.0,73.09,98,100,3.04,BR,1619129429
La Ronge,55.1001,-105.2842,26.6,50,98,16.11,CA,1619129485
Talnakh,69.4865,88.3972,30.79,95,100,13.67,RU,1619129502
Longyearbyen,78.2186,15.6401,17.6,62,75,1.48,SJ,1619129074
Bengkulu,-3.8004,102.2655,73.54,88,82,4.27,ID,1619129309
Evensk,61.95,159.2333,26.62,91,94,3.76,RU,1619129847
Amga,60.8953,131.9608,18.19,83,55,4.0,RU,1619129847
Pevek,69.7008,170.3133,21.04,71,32,11.18,RU,1619129445
Cody,44.5263,-109.0565,61.0,21,20,11.5,US,1619129848
Daru,-9.0763,143.2092,80.51,83,38,3.76,PG,1619129849
Leshukonskoye,64.8989,45.7622,36.41,94,100,8.19,RU,1619129849
Segezha,63.7415,34.3222,36.39,90,98,4.76,RU,1619129849
Half Moon Bay,37.4636,-122.4286,64.0,93,75,4.61,US,1619129267
Saucillo,28.0167,-105.2833,87.42,4,97,8.75,MX,1619129850
Teknāf,20.8624,92.3058,76.01,89,10,2.59,BD,1619129851
Kununurra,-15.7667,128.7333,69.8,64,100,3.44,AU,1619129255
Narsaq,60.9167,-46.05,50.0,29,20,11.5,GL,1619129851
Vostok,46.4856,135.8833,50.65,45,100,3.58,RU,1619129852
Ostrovnoy,68.0531,39.5131,33.58,94,100,9.42,RU,1619129852
Beroroha,-21.6667,45.1667,71.64,72,6,4.18,MG,1619129853
Santa Pola,38.1917,-0.5658,59.0,88,20,4.61,ES,1619129853
Viedma,-40.8135,-62.9967,61.92,55,42,5.01,AR,1619129854
Hambantota,6.1241,81.1185,78.8,100,40,3.44,LK,1619129854
Ayan,56.45,138.1667,31.55,85,100,5.59,RU,1619129854
Wiarton,44.7407,-81.1332,41.0,52,20,13.8,CA,1619129855
Våler,60.6785,11.8331,37.4,38,0,8.05,NO,1619129855
Vanimo,-2.6741,141.3028,79.72,79,100,2.77,PG,1619129468
Aklavik,68.2191,-135.0107,26.6,54,20,5.75,CA,1619129500
Caracolí,6.4119,-74.7606,80.08,77,50,2.04,CO,1619129856
Haines Junction,60.7522,-137.5108,48.2,25,0,5.75,CA,1619129857
Lumeje,-11.55,20.7833,68.04,69,73,2.86,AO,1619129857
Torbay,47.6666,-52.7314,44.01,87,90,21.85,CA,1619129344
Port Shepstone,-30.7414,30.455,66.18,81,95,9.04,ZA,1619129821
Sulina,45.1559,29.6536,53.01,77,91,13.44,RO,1619129858
Poum,-20.2333,164.0167,77.99,79,66,12.93,NC,1619129859
Santa Cruz de La Palma,28.6835,-17.7642,68.0,68,0,5.75,ES,1619129859
Mandera,3.9366,41.867,83.32,61,100,7.9,KE,1619129859
Sorong,-0.8833,131.25,78.39,87,82,4.36,ID,1619129860
Krasnyy Yar,46.5331,48.3456,53.01,66,75,6.71,RU,1619129860
Beloha,-25.1667,45.05,70.56,80,46,16.44,MG,1619129344
Kyren,51.6828,102.1408,19.99,88,100,1.77,RU,1619129861
Horta,38.5333,-28.6333,55.99,79,66,37.27,PT,1619129861
Eilat,29.5581,34.9482,73.4,31,0,13.8,IL,1619129862
Acoyapa,11.9703,-85.1711,91.4,49,40,9.22,NI,1619129862
Luena,-11.7833,19.9167,62.19,81,66,3.06,AO,1619129225
Saint-Augustin,51.226,-58.6502,39.06,91,100,30.4,CA,1619129467
Esperance,-33.8667,121.9,53.6,94,99,8.05,AU,1619129470
São João da Barra,-21.6403,-41.0511,73.4,78,40,13.8,BR,1619129863
Sitka,57.0531,-135.33,51.8,50,20,8.05,US,1619129457
Qaanaaq,77.484,-69.3632,16.36,80,87,10.38,GL,1619129464
Laramie,41.3114,-105.5911,48.0,31,1,11.5,US,1619129589
Kondinskoye,59.6481,67.41,40.39,69,100,13.8,RU,1619129865
Melbourne,28.0836,-80.6081,75.0,56,1,11.5,US,1619129607
Bhawānipatna,19.9,83.1667,81.23,51,76,3.53,IN,1619129865
Rio Grande,-32.035,-52.0986,71.6,73,0,23.02,BR,1619129866
Fortuna,40.5982,-124.1573,57.99,82,75,16.11,US,1619129317
Husavik,66.0449,-17.3389,39.2,87,0,3.44,IS,1619129511
Grand Gaube,-20.0064,57.6608,75.99,87,100,1.99,MU,1619129867
Karratha,-20.7377,116.8463,74.41,28,0,12.59,AU,1619129419
Rocha,-34.4833,-54.3333,62.56,84,19,8.28,UY,1619129867
Leningradskiy,69.3833,178.4167,34.25,74,90,2.04,RU,1619129868
Coyhaique,-45.5752,-72.0662,48.2,81,75,5.75,CL,1619129868
Hay River,60.8156,-115.7999,23.0,74,100,11.5,CA,1619129681
Caravelas,-17.7125,-39.2481,74.88,82,93,6.15,BR,1619129375
Nouadhibou,20.931,-17.0347,64.4,88,0,16.11,MR,1619129869
Alofi,-19.0595,-169.9187,84.2,74,75,12.66,NU,1619129471
Synya,65.3718,58.0387,38.5,96,100,11.45,RU,1619129870
San Policarpo,12.1791,125.5072,76.8,88,95,5.12,PH,1619129870
Saskylakh,71.9167,114.0833,4.62,97,100,5.3,RU,1619129446
Mopipi,-21.1833,24.8833,63.37,33,52,7.67,BW,1619129871
Leeton,-34.5667,146.4,55.4,71,90,2.3,AU,1619129871
Lamar,33.6668,-95.5836,60.8,39,90,16.11,US,1619129872
Aksarka,66.5606,67.7975,35.37,88,100,13.53,RU,1619129872
Hūn,29.1268,15.9477,76.15,17,67,20.0,LY,1619129872
Kasongo-Lunda,-6.4667,16.8167,67.21,97,100,1.63,CD,1619129873
Zhangye,38.9342,100.4517,58.01,45,3,6.02,CN,1619129873
Auki,-8.7676,160.7034,83.23,71,81,2.77,SB,1619129439
Carnarvon,-24.8667,113.6333,66.2,63,40,6.91,AU,1619129364
Les Cayes,18.2,-73.75,80.64,70,15,9.51,HT,1619129875
Marabba,12.35,32.1833,91.24,27,84,10.11,SD,1619129876
Hualmay,-11.0964,-77.6139,70.05,80,19,8.77,PE,1619129876
Pundaguitan,6.3711,126.1689,82.33,74,55,3.89,PH,1619129877
Wanning,18.8003,110.3967,75.78,89,36,5.46,CN,1619129877
Boa Vista,2.8197,-60.6733,89.6,48,40,9.22,BR,1619129230
Touros,-5.1989,-35.4608,80.6,78,40,6.91,BR,1619129878
Wanlaweyn,2.6185,44.8938,80.29,78,95,9.93,SO,1619129821
Hasilpur,29.7122,72.5553,77.02,34,14,17.05,PK,1619129878
Sept-Îles,50.2001,-66.3821,41.0,100,90,9.22,CA,1619129879
Brae,60.3964,-1.353,42.8,70,90,9.22,GB,1619129309
Sinjai,-5.1241,120.253,72.91,89,31,4.09,ID,1619129595
Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.2,75,20,6.71,RU,1619129627
Khatanga,71.9667,102.5,26.65,97,99,6.55,RU,1619129371
Maniitsoq,65.4167,-52.9,34.18,68,8,4.12,GL,1619129880
Quatre Cocos,-20.2078,57.7625,77.0,94,75,6.91,MU,1619129880
Porangatu,-13.4408,-49.1486,73.71,63,12,2.55,BR,1619129881
Cayenne,4.9333,-52.3333,78.01,94,75,9.22,GF,1619129357
Kota Tinggi,1.7381,103.8999,77.0,94,20,1.14,MY,1619129882
Chokurdakh,70.6333,147.9167,-1.19,97,98,6.13,RU,1619129314
Changli,39.7042,119.1506,51.1,88,100,21.16,CN,1619129882
San Miguel de Cozumel,20.5083,-86.9458,86.0,58,40,10.36,MX,1619129883
Meadow Lake,34.8014,-106.5436,73.0,10,75,8.05,US,1619129883
Iqaluit,63.7506,-68.5145,23.0,86,90,3.44,CA,1619129479
Hobyo,5.3505,48.5268,83.48,72,76,12.08,SO,1619129405
Beacon,41.5048,-73.9696,45.0,45,75,23.02,US,1619129884
Danané,7.2596,-8.155,70.95,97,98,2.75,CI,1619129885
Kavieng,-2.5744,150.7967,81.72,75,90,7.58,PG,1619129505
Springdale,36.1867,-94.1288,62.6,29,75,6.87,US,1619129885
Shaoyang,27.2315,111.4525,65.01,91,100,5.46,CN,1619129886
Ardeşen,41.1911,40.9875,51.8,93,75,2.75,TR,1619129886
Yerbogachën,61.2767,108.0108,25.95,91,100,12.37,RU,1619129887
Karasburg,-28.0167,18.75,71.49,26,2,1.97,NA,1619129887
Dolores,-36.3132,-57.6792,64.44,88,100,8.12,AR,1619129887
Bar Harbor,44.3876,-68.2039,36.0,51,90,9.22,US,1619129888
Sur,22.5667,59.5289,86.18,29,7,16.62,OM,1619129888
Zhezkazgan,47.8043,67.7144,38.53,40,71,12.57,KZ,1619129889
Turukhansk,65.8167,87.9833,28.02,94,100,11.7,RU,1619129889
Dunedin,-45.8742,170.5036,57.99,83,99,1.01,NZ,1619129291
Usinsk,65.9939,57.5281,37.15,97,100,19.53,RU,1619129890
San Quintín,30.4833,-115.95,62.51,61,37,16.78,MX,1619129446
Port Augusta,-32.5,137.7667,53.01,87,16,6.91,AU,1619129891
Cap Malheureux,-19.9842,57.6142,75.99,87,100,1.01,MU,1619129492
‘Ewa Beach,21.3156,-158.0072,84.2,51,75,13.8,US,1619129891
Jashpurnagar,22.9,84.15,70.11,37,22,5.79,IN,1619129892
Port Hedland,-20.3167,118.5667,62.6,39,0,8.05,AU,1619129430
Havelock,34.8791,-76.9013,60.01,26,1,13.8,US,1619129783
Flinders,-34.5833,150.8552,59.0,60,0,3.0,AU,1619129408
Ormara,25.2088,64.6357,81.43,74,0,14.74,PK,1619129893
Vestmanna,62.1564,-7.1664,42.8,81,75,4.81,FO,1619129448
Prado,-17.3411,-39.2208,74.46,87,95,5.14,BR,1619129894
